id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
32SFvZODywPBVDYSYtqxCj,0.867,0.796,6,-4.73,0.202,0.776,92.766,28
0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,0.0738,0.53,201.936,21
4tkSJRlbhuVxYjvuIQaMcj,0.904,0.728,10,-4.773,0.351,0.847,90.458,28
0JFBf2PloRfMkPg5DjXhDx,0.911,0.65,0,-5.529,0.00254,0.681,98.625,30
0NJu93oln1kkgbHLFzLJ4h,0.534,0.671,5,-5.023,0.0504,0.422,174.292,53
7sDbMmWxaErta2JbxKMu3Y,0.829,0.662,7,-6.552,0.0185,0.747,76.652,28
3Feec7M9kLXDHag4iZcBxU,0.726,0.757,0,-7.155,0.0254,0.679,83.979,15
62duQFVb51gug9ajR6Qdiz,0.81,0.745,10,-5.431,0.00712,0.388,87.019,24
2Ih217RCGAmyQR68Nn7Cqo,0.747,0.52,10,-10.523,0.0977,0.601,92.869,60
0BxHrCnAE3wwkZVkQvw59J,0.727,0.8,6,-2.507,0.0621,0.862,144.833,3
65iyI1iybyv5ecsfBHSdUf,0.843,0.7,9,-3.249,0.127,0.675,95.05,28
5J5Bbx7lKQOQXeW1EAL9Mz,0.751,0.884,2,-3.54,0.109,0.816,77.91,15
1YrHyDbH17btvI2rFTkbCQ,0.863,0.771,7,-2.77,0.00954,0.812,95.029,28
6QunXp3Hfsmz1qRYvILnNE,0.841,0.739,11,-5.111,0.151,0.571,85.891,28
4PmMVdIFpJTB9WQbmILf4p,0.862,0.648,4,-7.401,0.0455,0.637,98.012,30
39SQnz9u6zd91nZdaPmmJK,0.66,0.765,7,-7.121,0.227,0.771,151.073,67
3zmduBNsQ6BPDTZAkXzG5K,0.642,0.777,4,-4.809,0.00323,0.413,96.986,66
66TRwr5uJwPt15mfFkzhbi,0.736,0.74,0,-2.18,0.515,0.803,140.141,26
7qHAjAL7CpadaZLamuBZRm,0.683,0.74,11,-6.041,0.00228,0.65,129.515,24
67IvfvAMYQzJEeHopvwMMW,0.664,0.916,1,-3.888,0.17,0.559,93.134,15
3CBtWTrzgfCeU8lZyL132d,0.609,0.87,9,-4.672,0.127,0.462,95.129,36
04Tf0AplqcbmxnBWisVaYt,0.663,0.856,1,-6.503,0.0676,0.791,92.343,15
7722WsrGPUvUMcfBR87nhc,0.828,0.893,4,-4.567,0.117,0.711,85.95,15
5ljCWsDlSyJ41kwqym2ORw,0.759,0.678,9,-5.148,0.23,0.327,89.64,14
1G93i9ga7ZPEOqpiNhM1mq,0.861,0.479,7,-8.433,0.0452,0.278,99.969,12
